PUBLICATION ID;INCLUDES PVT PATTERNS; INCLUDES BRAIN PATTERNS
597055;FALSE;FALSE
6084538;FALSE;FALSE
6087185;FALSE;FALSE
6182963;FALSE;FALSE
6323551;TRUE;FALSE
6324206;TRUE;TRUE
6325999;FALSE;FALSE
6327347;FALSE;FALSE
6327348;FALSE;FALSE
6420007;TRUE;FALSE
6466973;TRUE;TRUE
6467038;FALSE;FALSE
6470713;FALSE;FALSE
6525508;TRUE;FALSE
7046880;FALSE;FALSE
7142442;TRUE;TRUE
7150950;TRUE;TRUE
719557;FALSE;FALSE
7381048;TRUE;FALSE
7477876;TRUE;FALSE
7499526;TRUE;TRUE
7521777;TRUE;TRUE
7525251;FALSE;FALSE
7526267;TRUE;FALSE
7526303;TRUE;FALSE
7531723;FALSE;FALSE
7542290;TRUE;FALSE
7544878;TRUE;FALSE
7566702;TRUE;FALSE
7582477;TRUE;FALSE
7583347;TRUE;FALSE
7589329;TRUE;FALSE
7599698;TRUE;TRUE
7612865;FALSE;FALSE
7621938;FALSE;FALSE
7667349;TRUE;FALSE
7675176;FALSE;FALSE
7694185;TRUE;TRUE
7700853;TRUE;TRUE
7796106;TRUE;TRUE
7800744;TRUE;FALSE
7823174;TRUE;FALSE
7834331;TRUE;TRUE
7842511;TRUE;FALSE
7844251;TRUE;FALSE
7850480;TRUE;TRUE
7859090;TRUE;FALSE
7869118;TRUE;FALSE
7874515;TRUE;FALSE
7891141;TRUE;TRUE
7907172;TRUE;TRUE
7969716;TRUE;FALSE
7985815;FALSE;FALSE
8069291;TRUE;FALSE
8100045;FALSE;FALSE
8101989;TRUE;TRUE
8131049;FALSE;FALSE
8149221;TRUE;TRUE
8187003;FALSE;FALSE
8195465;TRUE;FALSE
8270792;TRUE;FALSE
8302161;FALSE;TRUE
8319000;TRUE;FALSE
8331217;TRUE;TRUE
8369489;TRUE;FALSE
8396014;TRUE;TRUE
8440303;FALSE;FALSE
8440783;TRUE;TRUE
8535857;TRUE;TRUE
8544984;TRUE;TRUE
8550887;TRUE;FALSE
8593574;TRUE;FALSE
8624705;TRUE;FALSE
8719181;FALSE;FALSE
8738151;TRUE;FALSE
8738262;TRUE;FALSE
8738579;TRUE;TRUE
8752683;FALSE;FALSE
8761991;TRUE;FALSE
8774461;TRUE;FALSE
8783254;TRUE;FALSE
8805122;TRUE;FALSE
8830320;TRUE;FALSE
8848109;FALSE;FALSE
8876464;TRUE;TRUE
8882592;TRUE;TRUE
8883853;TRUE;FALSE
8891652;FALSE;FALSE
8946260;TRUE;FALSE
8950089;TRUE;FALSE
9013028;FALSE;FALSE
9017244;TRUE;FALSE
9125437;TRUE;TRUE
9145942;TRUE;TRUE
9154216;TRUE;TRUE
9249554;TRUE;FALSE
9259457;TRUE;TRUE
9347520;TRUE;FALSE
9364240;TRUE;FALSE
9369341;TRUE;FALSE
9372223;TRUE;FALSE
9394124;TRUE;FALSE
9406940;TRUE;FALSE
9414010;TRUE;TRUE
9435637;TRUE;FALSE
9473561;TRUE;TRUE
9473567;TRUE;FALSE
9483519;TRUE;TRUE
9489932;TRUE;FALSE
9502258;TRUE;FALSE
9507136;TRUE;TRUE
9510416;FALSE;FALSE
9518626;TRUE;FALSE
9518661;FALSE;FALSE
9526028;TRUE;FALSE
9543341;TRUE;TRUE
9570813;TRUE;FALSE
9572581;TRUE;TRUE
9578393;TRUE;TRUE
9578404;TRUE;TRUE
9579788;TRUE;FALSE
9581657;TRUE;TRUE
9622626;TRUE;FALSE
9666136;TRUE;TRUE
9673793;TRUE;FALSE
9678661;TRUE;FALSE
9715082;TRUE;TRUE
9791082;TRUE;FALSE
9823731;TRUE;TRUE
9852603;TRUE;FALSE
9860114;TRUE;FALSE
9861022;TRUE;FALSE
9881876;TRUE;TRUE
9892705;TRUE;TRUE
